City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Long Beach,US,33.77,-118.19,69.01,68,1,4.7,clear sky
114,Emerald,AU,-23.53,148.17,93.2,16,0,11.41,clear sky
115,Kieta,PG,-6.22,155.63,84.2,65,10,2.59,light rain
116,Shenjiamen,CN,29.96,122.3,64.4,81,98,16.89,overcast clouds
117,Arrifes,PT,37.77,-25.7,62.6,82,20,16.11,few clouds
118,Manzanillo,CU,20.34,-77.12,75.61,88,100,8.72,overcast clouds
119,Tuktoyaktuk,CA,69.45,-133.04,10.4,78,90,17.22,light snow
120,Zyryanka,RU,65.75,150.85,-5.21,91,35,2.3,scattered clouds
121,Vila Velha,BR,-20.33,-40.29,68.0,77,75,17.22,broken clouds
122,Barrow,US,71.29,-156.79,26.6,68,90,9.17,overcast clouds
123,Tura,IN,25.52,90.22,81.64,70,85,2.35,overcast clouds
124,Rio Grande,BR,-32.03,-52.1,46.99,98,0,3.6,clear sky
125,Gorontalo,ID,0.54,123.06,89.33,52,100,7.05,overcast clouds
126,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,46.4,52,55,6.71,broken clouds
127,Mahibadhoo,MV,3.78,72.97,83.08,71,31,7.11,scattered clouds
128,Clyde River,CA,70.47,-68.59,8.6,84,90,16.11,overcast clouds
129,Pasni,PK,25.26,63.47,79.59,27,0,7.67,clear sky
130,Wladyslawowo,PL,54.79,18.4,54.0,100,90,11.41,mist
131,Gamba,GA,-2.65,10.0,75.69,92,93,2.66,overcast clouds
132,Laguna,US,38.42,-121.42,57.2,66,1,1.77,clear sky
133,Ahipara,NZ,-35.17,173.17,66.25,89,99,7.61,light rain
134,Vila Franca Do Campo,PT,37.72,-25.43,62.6,82,20,16.11,few clouds
135,Ilulissat,GL,69.22,-51.1,19.4,73,100,1.12,overcast clouds
136,Batouri,CM,4.43,14.37,67.46,97,100,0.56,light rain
137,Norman Wells,CA,65.28,-126.83,1.4,84,75,4.7,light snow
138,Port-Gentil,GA,-0.72,8.78,77.81,88,99,11.68,light rain
139,Albany,US,42.6,-73.97,37.99,64,74,1.01,broken clouds
140,Upernavik,GL,72.79,-56.15,16.48,92,98,4.5,overcast clouds
141,Gari,RU,59.43,62.35,26.82,96,0,3.04,clear sky
142,Biloela,AU,-24.42,150.5,89.01,19,0,8.86,clear sky
143,Namatanai,PG,-3.67,152.43,85.19,70,75,4.32,light rain
144,Bethel,US,41.37,-73.41,42.8,83,1,8.05,clear sky
145,Goba,ET,7.02,39.98,51.24,87,64,2.24,light rain
146,Gat,IL,31.61,34.76,69.01,80,89,5.41,overcast clouds
147,Shirokiy,RU,49.76,129.52,24.19,96,100,10.58,light snow
148,Kuopio,FI,62.89,27.68,39.2,86,95,19.46,overcast clouds
149,Nizhniy Bestyakh,RU,61.96,129.91,-11.2,83,40,2.24,mist
150,Asau,RO,46.43,26.4,39.0,81,4,5.84,clear sky
151,Richards Bay,ZA,-28.78,32.04,64.62,93,100,4.16,moderate rain
152,Mantua,IT,45.17,10.78,53.01,97,80,1.01,broken clouds
