City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
244,Chake Chake,TZ,80.55,clear sky,-5.25,39.77,Hotel Archipelago
245,Padilla,CO,71.6,broken clouds,3.22,-76.31,La Granadina
246,Ajdabiya,LY,63.63,clear sky,30.76,20.23,الحاج سليمان الشترة
247,Loviisa,FI,42.01,broken clouds,60.46,26.23,Loviisa Camping
248,Dungarpur,IN,80.62,clear sky,23.83,73.72,Gayatri Hotel
249,Yangmei,CN,70.92,scattered clouds,24.1,112.56,
250,Bambous Virieux,MU,75.2,broken clouds,-20.34,57.76,Casa Tia Villa
251,Sao Felix Do Xingu,BR,71.64,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
252,Tabou,CI,76.93,scattered clouds,4.42,-7.35,hotêl doufoulougou
253,Pevek,RU,14.94,light snow,69.7,170.31,Severnoye Zoloto
254,Mar Del Plata,AR,57.99,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
255,Nonoichi,JP,62.01,light intensity shower rain,36.53,136.62,Toyoko INN Kanazawa Kenrokuen Korinbo
256,Diu,IN,86.56,clear sky,20.71,70.98,Hotel Relax Inn
257,Nhulunbuy,AU,91.4,few clouds,-12.23,136.77,East Arnhem Real Estate
258,Tessalit,ML,70.59,broken clouds,20.2,1.01,
259,Doha,QA,82.4,clear sky,25.29,51.53,Doha Marriott Hotel
260,Port Hardy,CA,55.4,overcast clouds,50.7,-127.42,Airport Inn
261,Poum,NC,78.31,light rain,-20.23,164.02,Gîte kajeon
262,Baltay,RU,39.4,few clouds,52.47,46.63,
263,Turan,VN,82.4,scattered clouds,16.07,108.22,Grand Mercure Danang
264,Emmett,US,48.0,clear sky,43.87,-116.5,Holiday Motel & R.V Park
265,Cidreira,BR,60.66,clear sky,-30.18,-50.21,Hotel Castelo
266,Soto La Marina,MX,64.0,clear sky,23.77,-98.22,Hotel Chicago
267,Faanui,PF,80.42,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
268,Vanavara,RU,24.04,light snow,60.34,102.28,Russia
269,Shimoda,JP,73.4,light rain,34.67,138.95,Shimoda Tokyu Hotel
270,Vao,NC,74.53,overcast clouds,-22.67,167.48,Hotel Kou-Bugny
271,Honiara,SB,84.2,scattered clouds,-9.43,159.95,Heritage Park Hotel
273,Eureka,US,50.0,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
274,Salalah,OM,77.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
275,Jurm,AF,58.98,scattered clouds,36.86,70.83,
276,Milyutinskaya,RU,53.56,light rain,48.63,41.67,
277,San Policarpo,PH,83.35,light rain,12.18,125.51,Zal-Ann Beach Resort
278,Zabid,YE,83.21,clear sky,14.2,43.32,دار الضيافة
279,Cacapava Do Sul,BR,45.77,clear sky,-30.51,-53.49,Hotel Portal
281,Ancud,CL,46.99,scattered clouds,-41.87,-73.82,Hotel Arena Gruesa
